iter	RMSE
0	0.2029462416
1	0.2010423196
2	0.1992316706
3	0.1974361432
4	0.1957671392
5	0.1941323471
6	0.192594164
7	0.1910832657
8	0.1896042029
9	0.1881686491
10	0.1867975708
11	0.1854906597
12	0.1842429136
13	0.1830850996
14	0.18193788
15	0.1808177007
16	0.1797659102
17	0.1787649751
18	0.1777523885
19	0.1767907105
20	0.1758815215
21	0.1749704329
22	0.1741425736
23	0.1733245618
24	0.1725520734
25	0.1717967205
26	0.1710960367
27	0.1703955607
28	0.1697157613
29	0.1690710122
30	0.1684623524
31	0.1678731372
32	0.1672803714
33	0.1667448425
34	0.1662197032
35	0.1656884828
36	0.1651826741
37	0.1647105572
38	0.1642551873
39	0.1638237486
40	0.1633665304
41	0.1629378228
42	0.1625647392
43	0.162188563
44	0.1618080772
45	0.161432577
46	0.1610889471
47	0.1607568898
48	0.1604689274
49	0.1601513726
50	0.1598498208
51	0.1595502935
52	0.1592534697
53	0.1589629382
54	0.1586853763
55	0.1584202945
56	0.1581670341
57	0.1579164781
58	0.1576610711
59	0.1574189449
60	0.1571869516
61	0.1569464153
62	0.1567238647
63	0.1565102013
64	0.1563037124
65	0.1560778269
66	0.1558868867
67	0.1556929309
68	0.1555248602
69	0.1553184101
70	0.1551564969
71	0.1550024449
72	0.154832676
73	0.1546596582
74	0.1544790329
75	0.1542811822
76	0.1541264922
77	0.1539740295
78	0.1538372893
79	0.1536692864
80	0.1535298076
81	0.1534100789
82	0.1532659857
83	0.1531300392
84	0.1530115481
85	0.1528899818
86	0.1527592757
87	0.1526110105
88	0.152479785
89	0.1523555233
90	0.1522188845
91	0.1520808058
92	0.1519743585
93	0.1518486845
94	0.1517151087
95	0.1516088058
96	0.1514846015
97	0.1513683564
98	0.151259203
99	0.1511763681
100	0.1510711404
101	0.1509513512
102	0.1508659931
103	0.1507657753
104	0.150633965
105	0.1505239402
106	0.150418474
107	0.1503194223
108	0.1501965944
109	0.1500721267
110	0.1499675736
111	0.1498825984
112	0.1498098137
113	0.1497076416
114	0.1496226536
115	0.1495080384
116	0.1494258205
117	0.1493389896
118	0.1492370342
119	0.1491604948
120	0.1490579699
121	0.148965578
122	0.1488557632
123	0.1487826394
124	0.148686012
125	0.148614715
126	0.1485441494
127	0.1484554056
128	0.1483782692
129	0.1483112541
130	0.1482209877
131	0.1481236891
132	0.1480352901
133	0.1479243845
134	0.147867404
135	0.1477938703
136	0.1477243383
137	0.1476504053
138	0.1475787663
139	0.1475063543
140	0.1474267731
141	0.1473346942
142	0.1472706983
143	0.1471934768
144	0.1471344065
145	0.1470744808
146	0.1470110875
147	0.1469426423
148	0.1468785548
149	0.1468390453
150	0.1467684729
151	0.1466983709
152	0.1466499017
153	0.1465836445
154	0.1465298757
155	0.1464596488
156	0.1463946669
157	0.14632804
158	0.1462627357
159	0.1461871747
160	0.1461300427
161	0.1460621405
162	0.1459894132
163	0.1459439147
164	0.1458809326
165	0.1457954276
166	0.1457248029
167	0.1456580021
168	0.1455862354
169	0.1455414914
170	0.1454874497
171	0.1454224598
172	0.1453755238
173	0.145283108
174	0.1452201664
175	0.1451778863
176	0.1451337837
177	0.1450761451
178	0.1450394953
179	0.1449794412
180	0.1449318737
181	0.1448724166
182	0.1447998048
183	0.1447192473
184	0.1446905288
185	0.1446231358
186	0.1445502846
187	0.1444971047
188	0.1444392755
189	0.14438514
190	0.1443479738
191	0.1442919602
192	0.1442420467
193	0.1441815194
194	0.1441392902
195	0.1440876514
196	0.1440229836
197	0.1439706771
198	0.1439107559
199	0.1438529423
200	0.1437900561
201	0.1437538424
202	0.1437131906
203	0.1436413251
204	0.1435907121
205	0.1435212733
206	0.143451861
207	0.1433950841
208	0.1433359002
209	0.1432827464
210	0.143220521
211	0.1431909981
212	0.1431612265
213	0.1430973884
214	0.1430537404
215	0.1430139974
216	0.1429723539
217	0.1429149283
218	0.1428795629
219	0.1428357612
220	0.1427769076
221	0.1427292179
222	0.1426733312
223	0.1426339671
224	0.1425625496
225	0.1425236248
226	0.1424523174
227	0.1424199768
228	0.1423664477
229	0.142292577
230	0.1422579635
231	0.1422413225
232	0.142205384
233	0.1421638446
234	0.1421264667
235	0.1420726302
236	0.1420483331
237	0.1419935622
238	0.1419249985
239	0.1418995137
240	0.1418493971
241	0.1417864866
242	0.1417495665
243	0.1416998163
244	0.141664113
245	0.1415951872
246	0.141515082
247	0.141450818
248	0.1414152733
249	0.1413757623
250	0.1413145921
251	0.1412787423
252	0.1412306214
253	0.1411927337
254	0.1411469942
255	0.1411048866
256	0.1410647026
257	0.1410188277
258	0.1409882172
259	0.1409407035
260	0.1408986164
261	0.14086954
262	0.1408341039
263	0.1407881072
264	0.1407459275
265	0.140706053
266	0.1406541695
267	0.1405933206
268	0.1405471415
269	0.140516771
270	0.140482947
271	0.1404042129
272	0.1403699267
273	0.1403155706
274	0.1402553662
275	0.1401921095
276	0.1401489327
277	0.1400863954
278	0.1400334905
279	0.1399885775
280	0.1399359746
281	0.1398916605
282	0.1398257331
283	0.1397586823
284	0.1397225274
285	0.1396705212
286	0.1396204553
287	0.1395784067
288	0.1395240107
289	0.1394808958
290	0.1394400058
291	0.1393972337
292	0.1393661289
293	0.1393049878
294	0.1392486603
295	0.1392146172
296	0.1391790927
297	0.1391230646
298	0.1390906964
299	0.1390250718
300	0.1389906136
301	0.1389579168
302	0.1389142074
303	0.1388544178
304	0.1387857715
305	0.1387546995
306	0.1387192972
307	0.1386696793
308	0.1386195616
309	0.1385766229
310	0.1385361409
311	0.1384906934
312	0.138466506
313	0.1384273936
314	0.1384062261
315	0.1383795865
316	0.138335847
317	0.1382813538
318	0.1382593121
319	0.1382231031
320	0.138167754
321	0.1381302376
322	0.1380951253
323	0.1380472407
324	0.1379760851
325	0.1379220248
326	0.1378887202
327	0.1378352817
328	0.1378133776
329	0.1377595422
330	0.1377234843
331	0.1377084813
332	0.1376614812
333	0.1376182503
334	0.1375606723
335	0.1375111032
336	0.1374516252
337	0.1374137476
338	0.1373698004
339	0.1373146367
340	0.137264437
341	0.1372395855
342	0.1372152519
343	0.1371663649
344	0.1371239719
345	0.1370696331
346	0.1370199502
347	0.136971943
348	0.1369332171
349	0.1368940713
350	0.1368651338
351	0.1368133751
352	0.1367649589
353	0.1367180504
354	0.1366590108
355	0.1366244881
356	0.1365812994
357	0.1365427119
358	0.1364956871
359	0.1364651306
360	0.136422435
361	0.1363597914
362	0.136315794
363	0.1362740634
364	0.1362385846
365	0.1361940109
366	0.136136396
367	0.1360950497
368	0.1360576166
369	0.1360182937
370	0.1359810702
371	0.1359403813
372	0.135878563
373	0.1358215068
374	0.1357735385
375	0.1357619408
376	0.1357146871
377	0.1356767123
378	0.1356255395
379	0.135571853
380	0.1355222674
381	0.1354897072
382	0.135467294
383	0.1354529927
384	0.1354172295
385	0.1353770157
386	0.1353312123
387	0.1353001259
388	0.135235885
389	0.135231678
390	0.1351874762
391	0.1351407787
392	0.1351230003
393	0.1350682337
394	0.1350119317
395	0.1349735564
396	0.1349147414
397	0.1348975588
398	0.1348495267
399	0.1348268296
400	0.1347892144
401	0.1347521441
402	0.1347244242
403	0.1347109984
404	0.1347007244
405	0.1346693583
406	0.1346217098
407	0.1345916172
408	0.1345395714
409	0.1345306249
410	0.1344918109
411	0.134429035
412	0.1343714532
413	0.1343342502
414	0.1342719123
415	0.134213081
416	0.134157797
417	0.1341051836
418	0.1340696221
419	0.1340278419
420	0.1339780524
421	0.1339285196
422	0.1338840574
423	0.1338481483
424	0.1338098418
425	0.1337701091
426	0.1337346538
427	0.1337039684
428	0.1336989591
429	0.1336506269
430	0.1336290589
431	0.1335928604
432	0.1335863126
433	0.1335471908
434	0.1335004022
435	0.1334716469
436	0.1334315776
437	0.1333981932
438	0.1333724624
439	0.1333421285
440	0.1333150155
441	0.1332595377
442	0.1332428936
443	0.1331998461
444	0.1331703741
445	0.1331394705
446	0.1330988348
447	0.1330503122
448	0.1330097735
449	0.1329860711
450	0.132946413
451	0.1328850362
452	0.1328352625
453	0.1327984988
454	0.1327635592
455	0.1327209668
456	0.1326752396
457	0.1326232056
458	0.1325587322
459	0.1325212696
460	0.1324835222
461	0.132484469
462	0.1324471495
463	0.1324040475
464	0.1323775102
465	0.1323651127
466	0.1323279315
467	0.1322717127
468	0.1322724359
469	0.132224175
470	0.1321882926
471	0.1321601318
472	0.1321500146
473	0.132116543
474	0.1320992132
475	0.1320659551
476	0.1320406143
477	0.1320093098
478	0.1319657515
479	0.1319336538
480	0.1318943752
481	0.1318952588
482	0.1318565986
483	0.1318219599
484	0.1317780883
485	0.1317357968
486	0.1317064723
487	0.1316541826
488	0.1316017826
489	0.1315826827
490	0.1315447905
491	0.1315147207
492	0.1314874991
493	0.131448281
494	0.1313933112
495	0.1313561386
496	0.131354107
497	0.1313250622
498	0.1312913212
499	0.1312438135
500	0.1312042381
501	0.1311782872
502	0.1311759237
503	0.1311441753
504	0.1311156492
505	0.1310626754
506	0.1310117834
507	0.1309771225
